Manufacturer,Model,SoC,Chip Family,SRAM,Flash ROM,Pinout,Voltage,Price,Link (presoldered headers),Price2,Link (no soldered headers),Price ,Link (presoldered stacking headers),external flash,psram
Adafruit,Feather M4 Express,SAMD51J19,Cortex M4,192 KB,512 KB,Feather,3.3, N/A ,,$22.95 ,https://www.adafruit.com/product/3857, N/A ,
Adafruit,Feather nRF52 Bluefruit LE,nRF52832,Cortex M4,64 KB,512 KB,Feather,3.3, N/A ,,$24.95 ,https://www.adafruit.com/product/3406, N/A ,
Adafruit,Feather nRF52 Pro w/ myNewt,nRF52832,Cortex M4,64 KB,512 KB,Feather,3.3, N/A ,,$27.50 ,https://www.adafruit.com/product/3574, N/A ,
Adafruit,Feather nRF52840 Express,nRF52840,Cortex M4,256 KB,1 MB,Feather,3.3, N/A ,,$24.95 ,https://www.adafruit.com/product/4062, N/A ,
Adafruit,Feather nRF52840 Sense,nRF52840,Cortex M4,256 KB,1 MB,Feather,3.3, N/A ,,$32.50 ,https://www.adafruit.com/product/4516, N/A ,
Adafruit,Feather STM32F405 Express,STM32F405,Cortex M4,192 KB,1 MB,Feather,3.3, N/A ,,$39.95 ,https://www.adafruit.com/product/4382, N/A ,
Adafruit,FeatherS2,ESP32-S2,Xtensa,320 KB,0B,Feather,3.3, N/A ,,$24.95 ,https://www.adafruit.com/product/4769, N/A ,,16 MB,8MB
SparkFun,Fio v3,ATmega32U4,ATmega,2.5 KB,32 KB,Breadboardable,3.3, N/A ,,$36.95 ,https://www.sparkfun.com/products/11520, N/A ,
SparkFun,FreeSoC2,CY8C5888AXI-LP096,Cortex M3,64 KB,256 KB,Arduino Mega,3.3,$99.95 ,https://www.sparkfun.com/products/13714, N/A ,, N/A ,
Arduino,Leonardo,ATmega32U4,ATmega,2.5 KB,32 KB,Arduino,5,$20.70 ,https://store-usa.arduino.cc/collections/boards/products/arduino-leonardo-with-headers,$18.40 ,https://store-usa.arduino.cc/collections/boards/products/arduino-leonardo-without-headers, N/A ,
